stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,nav2_zero,drl_zero
1777711844.9260473,0.0,0.0,0.05675606429576874,0.6973198056221008,0.05675606429576874,0.6973198056221008,False,True,False
1777711845.0266483,0.0,0.0,0.05676319822669029,0.696304202079773,0.05676319822669029,0.696304202079773,False,True,False
1777711845.1272366,0.0,0.0,0.05676319822669029,0.6963041424751282,0.05676319822669029,0.6963041424751282,False,True,False
1777711845.227798,0.0,0.0,0.0567571185529232,0.6966236233711243,0.0567571185529232,0.6966236233711243,False,True,False
1777711845.3282976,0.0,0.0,0.0567571185529232,0.6966236233711243,0.0567571185529232,0.6966236233711243,False,True,False
1777711845.4287548,0.0,0.0,0.056786973029375076,0.6964787244796753,0.056786973029375076,0.6964787244796753,False,True,False
1777711845.529415,0.0,0.0,0.056786973029375076,0.6964787244796753,0.056786973029375076,0.6964787244796753,False,True,False
1777711845.6299105,0.0,0.0,0.056817229837179184,0.6953856348991394,0.056817229837179184,0.6953856348991394,False,True,False
1777711845.7304883,0.0,0.0,0.056817226111888885,0.6953856348991394,0.056817226111888885,0.6953856348991394,False,True,False
1777711845.8309715,0.0,0.0,0.05680206045508385,0.6954647898674011,0.05680206045508385,0.6954647898674011,False,True,False
1777711845.9314444,0.0,0.0,0.05680206045508385,0.6954647302627563,0.05680206045508385,0.6954647302627563,False,True,False
1777711846.0319176,0.0,0.0,0.05676192790269852,0.6981509327888489,0.05676192790269852,0.6981509327888489,False,True,False
1777711846.1324902,0.0,0.0,0.05676192790269852,0.6981509923934937,0.05676192790269852,0.6981509923934937,False,True,False
1777711846.2329605,0.0,0.0,0.05683518573641777,0.695729672908783,0.05683518573641777,0.695729672908783,False,True,False
1777711846.3334765,0.0,0.0,0.05683518573641777,0.695729672908783,0.05683518573641777,0.695729672908783,False,True,False
1777711846.4339206,0.0,0.0,0.056749846786260605,0.6975070238113403,0.056749846786260605,0.6975070238113403,False,True,False
1777711846.534872,0.0,0.0,0.05674983933568001,0.6975070238113403,0.05674983933568001,0.6975070238113403,False,True,False
1777711846.6355648,0.01368421052631579,-0.16,0.05674983933568001,0.6975070238113403,0.043065628809364216,0.8575070238113404,True,False,False
1777711846.7359016,0.01368421052631579,-0.16,0.05679742991924286,0.6950401663780212,0.04311321939292707,0.8550401663780213,True,False,False
1777711846.8363924,0.01368421052631579,-0.32,0.05679742991924286,0.6950401663780212,0.04311321939292707,1.0150401663780213,True,False,False
1777711846.9367766,0.01368421052631579,-0.32,0.056842006742954254,0.694069504737854,0.04315779621663846,1.014069504737854,True,False,False
1777711847.0373416,0.01368421052631579,-0.48,0.056842006742954254,0.694069504737854,0.04315779621663846,1.174069504737854,True,False,False
1777711847.1377115,0.01368421052631579,-0.48,0.05685461312532425,0.6960673928260803,0.04317040259900846,1.1760673928260803,True,False,False
1777711847.2383227,0.01368421052631579,-0.8,0.05685461312532425,0.6960673928260803,0.04317040259900846,1.4960673928260804,True,False,False
1777711847.33864,0.01368421052631579,-0.8,0.05684557184576988,0.694841742515564,0.04316136131945409,1.494841742515564,True,False,False
1777711847.4391549,0.01368421052631579,-1.0,0.05684557184576988,0.694841742515564,0.04316136131945409,1.694841742515564,True,False,False
1777711847.5394647,0.01368421052631579,-1.0,0.056724078953266144,0.6997013688087463,0.04303986842695035,1.6997013688087463,True,False,False
1777711847.6399424,0.01368421052631579,-1.0,0.056724078953266144,0.6997013688087463,0.04303986842695035,1.6997013688087463,True,False,False
1777711847.7402961,0.01368421052631579,-1.0,0.05710791423916817,0.689339816570282,0.043423703712852375,1.689339816570282,True,False,False
1777711847.8408363,0.01368421052631579,-1.0,0.05710791423916817,0.689339816570282,0.043423703712852375,1.689339816570282,True,False,False
1777711847.9411607,0.01368421052631579,-1.0,0.05765155330300331,0.6438258290290833,0.04396734277668752,1.6438258290290833,True,False,False
1777711848.0418384,0.1386842105263158,-1.0,0.05765155330300331,0.6438258290290833,0.08103265722331249,1.6438258290290833,True,False,False
1777711848.1423864,0.1386842105263158,-1.0,0.0544690303504467,0.3160302937030792,0.0842151801758691,1.3160302937030792,True,False,False
1777711848.2428715,0.21894736842105267,-1.0,0.0544690303504467,0.3160302937030792,0.16447833807060597,1.3160302937030792,True,False,False
1777711848.343168,0.21894736842105267,-1.0,0.054441966116428375,0.16394218802452087,0.1645054023046243,1.1639421880245209,True,False,False
1777711848.4436498,0.19157894736842107,-1.0,0.054441966116428375,0.16394218802452087,0.1371369812519927,1.1639421880245209,True,False,False
1777711848.5440474,0.19157894736842107,-1.0,0.0746273621916771,-0.6365715265274048,0.11695158517674398,0.3634284734725952,False,False,False
1777711848.6445856,0.16421052631578947,-1.0,0.0746273621916771,-0.6365715265274048,0.08958316412411238,0.3634284734725952,False,False,False
1777711848.7449114,0.16421052631578947,-1.0,0.07276700437068939,-0.11312881857156754,0.09144352194510008,0.8868711814284325,False,False,False
1777711848.8454056,0.04105263157894737,-1.0,0.07276700437068939,-0.11312881857156754,0.031714372791742024,0.8868711814284325,False,False,False
1777711848.945758,0.04105263157894737,-1.0,0.07175848633050919,0.07424645870923996,0.030705854751561817,1.07424645870924,True,False,False
1777711849.0463266,0.06842105263157895,-1.0,0.07175848633050919,0.07424645870923996,0.003337433698930234,1.07424645870924,True,False,False
1777711849.1468472,0.06842105263157895,-1.0,0.07452916353940964,0.6177882552146912,0.0061081109078306856,1.6177882552146912,True,False,False
1777711849.2473357,0.08210526315789474,-1.0,0.07452916353940964,0.6177882552146912,0.007576099618485099,1.6177882552146912,True,False,False
1777711849.3476675,0.08210526315789474,-1.0,0.07394835352897644,0.7616618871688843,0.008156909628918296,1.7616618871688843,True,False,False
1777711849.448191,0.01368421052631579,-1.0,0.07394835352897644,0.7616618871688843,0.06026414300266065,1.7616618871688843,True,False,False
1777711849.5487146,0.01368421052631579,-1.0,0.07455940544605255,0.7704082131385803,0.06087519491973676,1.7704082131385803,True,False,False
1777711849.649369,0.1094736842105263,-0.8947368421052632,0.07455940544605255,0.7704082131385803,0.034914278764473755,1.6651450552438436,True,False,False
1777711849.7497454,0.1094736842105263,-0.8947368421052632,0.07367648929357529,0.7696208357810974,0.03579719491695102,1.6643576778863607,True,False,False
1777711849.8505528,0.02736842105263158,-0.7894736842105263,0.07367648929357529,0.7696208357810974,0.0463080682409437,1.5590945199916237,True,False,False
1777711849.9508936,0.02736842105263158,-0.7894736842105263,0.0752769336104393,0.7811893820762634,0.04790851255780772,1.5706630662867898,True,False,False
1777711850.0514092,0.02736842105263158,-0.6842105263157895,0.0752769336104393,0.7811893820762634,0.04790851255780772,1.4653999083920528,True,False,False
1777711850.1517258,0.02736842105263158,-0.6842105263157895,0.07504966855049133,0.7791481614112854,0.04768124749785975,1.4633586877270748,True,False,False
1777711850.2521741,0.0,-0.20421052631578943,0.07504966855049133,0.7791481614112854,0.07504966855049133,0.9833586877270748,True,False,False
1777711850.3524816,0.0,-0.20421052631578943,0.07540936768054962,0.7801927924156189,0.07540936768054962,0.9844033187314083,True,False,False
1777711850.4529874,0.02736842105263158,0.4357894736842106,0.07540936768054962,0.7801927924156189,0.04804094662791804,0.3444033187314083,False,False,False
1777711850.5534508,0.02736842105263158,0.4357894736842106,0.07584422081708908,0.7854171991348267,0.0484757997644575,0.34962772545061604,False,False,False
1777711850.65401,0.01368421052631579,0.6842105263157894,0.07584422081708908,0.7854171991348267,0.06216001029077329,0.10120667281903728,False,False,False
1777711850.754371,0.01368421052631579,0.6842105263157894,0.07592500746250153,0.7873244285583496,0.062240796936185734,0.10311390224256023,False,False,False
1777711850.8549454,0.01368421052631579,0.5789473684210525,0.07592500746250153,0.7873244285583496,0.062240796936185734,0.20837706013729707,False,False,False
1777711850.9552953,0.01368421052631579,0.5789473684210525,0.07593560963869095,0.7879948019981384,0.06225139911237516,0.20904743357708588,False,False,False
1777711851.0557773,0.01368421052631579,0.5789473684210525,0.07593560963869095,0.7879948019981384,0.06225139911237516,0.20904743357708588,False,False,False
1777711851.1560686,0.01368421052631579,0.5789473684210525,0.07587630301713943,0.7865298390388489,0.06219209249082364,0.20758247061779633,False,False,False
1777711851.2568474,0.01368421052631579,0.4736842105263157,0.07587630301713943,0.7865298390388489,0.06219209249082364,0.31284562851253317,False,False,False
1777711851.3574142,0.01368421052631579,0.4736842105263157,0.07567627727985382,0.7831752896308899,0.06199206675353803,0.3094910791045742,False,False,False
1777711851.4580364,0.01368421052631579,0.4736842105263157,0.07567627727985382,0.7831752896308899,0.06199206675353803,0.3094910791045742,False,False,False
1777711851.5583405,0.01368421052631579,0.4736842105263157,0.07530014216899872,0.7790507674217224,0.061615931642682926,0.3053665568954067,False,False,False
1777711851.6587718,0.01368421052631579,0.36842105263157887,0.07530014216899872,0.7790507674217224,0.061615931642682926,0.41062971479014354,False,False,False
1777711851.7591763,0.01368421052631579,0.36842105263157887,0.07428847253322601,0.7683401703834534,0.06060426200691022,0.3999191177518745,False,False,False
1777711851.8596725,0.01368421052631579,0.36842105263157887,0.07428847253322601,0.7683401703834534,0.06060426200691022,0.3999191177518745,False,False,False
1777711851.9600325,0.01368421052631579,0.36842105263157887,0.07395875453948975,0.763227105140686,0.060274544013173954,0.39480605250910716,False,False,False
1777711852.0605407,0.01368421052631579,0.36842105263157887,0.07395875453948975,0.763227105140686,0.060274544013173954,0.39480605250910716,False,False,False
1777711852.161175,0.01368421052631579,0.36842105263157887,0.07447891682386398,0.7722593545913696,0.06079470629754819,0.40383830195979076,False,False,False
1777711852.2618036,0.0,-0.05684210526315797,0.07447891682386398,0.7722593545913696,0.07447891682386398,0.8291014598545277,True,False,False
1777711852.3620403,0.0,-0.05684210526315797,0.07407896220684052,0.7660237550735474,0.07407896220684052,0.8228658603367054,True,False,False
1777711852.4626422,0.0,0.26315789473684204,0.07407896220684052,0.7660237550735474,0.07407896220684052,0.5028658603367053,False,False,False
1777711852.5630293,0.0,0.26315789473684204,0.07456051558256149,0.7712748050689697,0.07456051558256149,0.5081169103321277,False,False,False
1777711852.66366,0.0,0.1578947368421052,0.07456051558256149,0.7712748050689697,0.07456051558256149,0.6133800682268645,False,False,False
1777711852.7640018,0.0,0.1578947368421052,0.07404480874538422,0.7647584080696106,0.07404480874538422,0.6068636712275054,False,False,False
1777711852.8647,0.0,0.1578947368421052,0.07404480874538422,0.7647584080696106,0.07404480874538422,0.6068636712275054,False,False,False
1777711852.9650297,0.0,0.1578947368421052,0.07359181344509125,0.7667124271392822,0.07359181344509125,0.608817690297177,False,False,False
1777711853.065568,0.0,0.1578947368421052,0.07359181344509125,0.7667124271392822,0.07359181344509125,0.608817690297177,False,False,False
1777711853.1659815,0.0,0.1578947368421052,0.07359784096479416,0.7639538645744324,0.07359784096479416,0.6060591277323272,False,False,False
1777711853.266604,0.0,-0.1621052631578948,0.07359784096479416,0.7639538645744324,0.07359784096479416,0.9260591277323271,True,False,False
1777711853.367033,0.0,-0.1621052631578948,0.07373296469449997,0.7588169574737549,0.07373296469449997,0.9209222206316496,True,False,False
1777711853.4676218,0.04105263157894737,-0.8021052631578949,0.07373296469449997,0.7588169574737549,0.0326803331155526,1.5609222206316498,True,False,False
1777711853.5679677,0.04105263157894737,-0.8021052631578949,0.07378724217414856,0.7575232982635498,0.03273461059520119,1.5596285614214447,True,False,False
1777711853.668701,0.04105263157894737,-1.0,0.07378724217414856,0.7575232982635498,0.03273461059520119,1.7575232982635498,True,False,False
1777711853.7690706,0.04105263157894737,-1.0,0.07300124317407608,0.7455982565879822,0.03194861159512871,1.7455982565879822,True,False,False
1777711853.8695633,0.06842105263157895,-1.0,0.07300124317407608,0.7455982565879822,0.004580190542497128,1.7455982565879822,True,False,False
1777711853.9698913,0.06842105263157895,-1.0,0.07334593683481216,0.7525022625923157,0.004924884203233212,1.7525022625923157,True,False,False
1777711854.0704808,0.06842105263157895,-0.8947368421052632,0.07334593683481216,0.7525022625923157,0.004924884203233212,1.647239104697579,True,False,False
1777711854.17079,0.06842105263157895,-0.8947368421052632,0.07387953996658325,0.7718820571899414,0.0054584873350043,1.6666188992952047,True,False,False
1777711854.271279,0.013684210526315792,-0.84,0.07387953996658325,0.7718820571899414,0.06019532944026746,1.6118820571899413,True,False,False
1777711854.3716753,0.013684210526315792,-0.84,0.0748768150806427,0.77730792760849,0.06119260455432691,1.6173079276084898,True,False,False
1777711854.4721842,0.01368421052631579,-0.19999999999999987,0.0748768150806427,0.77730792760849,0.06119260455432691,0.9773079276084898,True,False,False
1777711854.5725567,0.01368421052631579,-0.19999999999999987,0.07489898800849915,0.776076078414917,0.061214777482183354,0.9760760784149168,True,False,False
1777711854.6730928,0.0,0.12000000000000013,0.07489898800849915,0.776076078414917,0.07489898800849915,0.6560760784149169,False,False,False
1777711854.7733407,0.0,0.12000000000000013,0.07561225444078445,0.7824795246124268,0.07561225444078445,0.6624795246124267,False,False,False
1777711854.8738472,0.0,-0.5199999999999999,0.07561225444078445,0.7824795246124268,0.07561225444078445,1.3024795246124268,True,False,False
1777711854.974229,0.0,-0.5199999999999999,0.0757693499326706,0.7858352065086365,0.0757693499326706,1.3058352065086365,True,False,False
1777711855.0747619,0.0,-0.7894736842105263,0.0757693499326706,0.7858352065086365,0.0757693499326706,1.5753088907191628,True,False,False
1777711855.1751401,0.0,-0.7894736842105263,0.07583469897508621,0.7867211699485779,0.07583469897508621,1.5761948541591042,True,False,False
1777711855.2756388,0.0,-0.6842105263157895,0.07583469897508621,0.7867211699485779,0.07583469897508621,1.4709316962643673,True,False,False
1777711855.3759863,0.0,-0.6842105263157895,0.07570227235555649,0.7856140732765198,0.07570227235555649,1.4698245995923092,True,False,False
1777711855.476621,0.0,-0.84,0.07570227235555649,0.7856140732765198,0.07570227235555649,1.6256140732765196,True,False,False
