episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
38,0,hard_forward_08,-0.9999312240697168,-0.4999975190864774,2.147657856083713e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1018.4628995610445,True,False,False,0.679265759953726,0.31405097246170044,1.0,0.34434560843293144,0.34434560843293144,0.6556543915670685,14,0,0.3160203695297241,3.5,True,0.56,,,62,1.0,0.0,57.28,1016.6420991389185,running,-627.0685424804688,33.98699188232422,0.14836789667606354
39,0,hard_forward_08,-1.1999311860617277,-0.4999978608074602,2.2446023289214533e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1016.4126053057363,True,False,False,0.47243040329031816,0.4920669198036194,0.8,0.3420762883715966,0.3420762883715966,0.45792371162840345,0,0,0.4947061538696289,3.5,False,0.52,,,46,1.0,0.0,56.56,1016.5587676719756,running,-615.9176025390625,67.04002380371094,0.14813707768917084
40,0,hard_forward_08,-0.9999333819607916,-0.4999974909437938,2.3070324221211738e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1018.250531661014,True,False,False,0.6767283980958816,0.3296300172805786,1.0,0.349224941468528,0.349224941468528,0.650775058531472,16,0,0.3296300172805786,3.5,True,0.56,,,62,1.0,0.0,57.2,1016.6708937511727,running,-595.1318969726562,24.07513427734375,0.14785049855709076
41,0,hard_forward_08,-1.1999313117664543,-0.4999978658212161,2.1798983399403214e-06,random_local_offset,0.8,0.0,0.0,-2.0,-0.5,0.0,1015.8271911343065,True,False,False,0.4822567273522721,0.48160871863365173,0.8000000000000002,0.34176245131380234,0.34176245131380234,0.4582375486861978,0,0,0.5010090470314026,3.5,False,0.52,,,45,1.0,0.0,56.12,1016.5774782976133,running,0.0,97.5142593383789,0.14771656692028046
42,0,hard_forward_08,-1.1999302469434623,-0.49999789359433094,2.408702233507852e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1015.2880160301642,True,False,False,0.46970204519803904,0.484578937292099,0.8000000000000002,0.3462711781529706,0.3462711781529706,0.45372882184702956,0,0,0.5050749182701111,3.5,False,0.52,,,43,1.0,0.0,55.96,1016.605623306661,running,-619.68603515625,19.15523338317871,0.14752958714962006
43,0,hard_forward_08,-0.9999312158530005,-0.4999974401981559,2.2173961694474673e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1018.235101085208,True,False,False,0.7136502727276518,0.28969606757164,1.0,0.34098571104718284,0.34098571104718284,0.6590142889528172,18,0,0.28969606757164,3.5,True,0.52,,,64,1.0,0.0,55.88,1016.6202469026512,running,-628.7011108398438,30.92256736755371,0.14743947982788086
44,0,hard_forward_08,-0.9999312247791835,-0.49999750262148973,2.1551242302071588e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1018.2343218412947,True,False,False,0.7205613040037864,0.30132102966308594,1.0,0.34505744622717077,0.34505744622717077,0.6549425537728293,18,0,0.30132102966308594,3.5,True,0.52,,,64,1.0,0.0,55.64,1016.6656101204807,running,-567.427734375,34.06987762451172,0.14721108973026276
45,0,hard_forward_08,-0.9999334490477656,-0.499997539068655,2.2552491674458516e-06,random_local_offset,1.0,0.0,0.0,-1.9,0.55,0.0,1018.2540275939082,True,False,False,0.7146912096121023,0.3083311915397644,1.0,0.3419986848052084,0.3419986848052084,0.6580013151947917,22,0,0.32677891850471497,3.5,True,0.52,,,66,1.0,0.0,55.6,1016.664279433497,running,-639.932861328125,30.995235443115234,0.14754988253116608
46,0,hard_forward_08,-1.1999333406796935,-0.4999979363699612,2.318810555390789e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1015.5536560933092,True,False,False,0.45849230698943344,0.4886810779571533,0.8,0.3497943631286395,0.3497943631286395,0.45020563687136056,0,0,0.5217577219009399,3.5,False,0.52,,,42,1.0,0.0,55.32,1016.6571176965887,running,-598.8966674804688,26.57648468017578,0.14810633659362793
47,0,hard_forward_08,-1.199931215501973,-0.49999786784423456,2.2376013051471105e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1016.2712783418764,True,False,False,0.46396148637795476,0.4832436740398407,0.8000000000000002,0.34375068468960207,0.34375068468960207,0.4562493153103981,0,0,0.5224488377571106,3.5,False,0.48,,,45,1.0,0.0,54.44,1016.5642587313519,running,0.0,26.933399200439453,0.1496652066707611
