episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
61,2,stage_2a,-0.5,0.0,0.0,902.5957639830773,True,False,False,1.3512634042239764,0.1482982486486435,1.5810734452392665,0.34321877321742417,0.34321877321742417,1.2378546720218424,137,1.0,0.0,137.5,905.3190871152615,running,0.0,224.8565673828125,0.15264910459518433
62,2,stage_2a,-0.5,0.0,0.0,922.7835655028724,True,False,False,1.3392291242228551,0.19360187649726868,1.5810734570348493,0.34335965688451753,0.34335965688451753,1.2377138001503316,137,1.0,0.0,137.33333333333334,911.1405799111318,running,-424.2456970214844,110.20487213134766,0.15101505815982819
63,2,stage_2a,-0.5,0.0,0.0,903.53887205206,True,False,False,1.430823755467846,0.14103513956069946,1.6636352162991042,0.34555407240155545,0.34555407240155545,1.3180811438975488,146,1.0,0.0,139.5,909.2401529463639,running,-498.2349853515625,99.88300323486328,0.14851433038711548
64,2,stage_2a,-0.5,0.0,0.0,934.7899656413047,True,False,False,1.3361401468415364,0.189182311296463,1.5810735448792292,0.34653599677685787,0.34653599677685787,1.2345375481023715,137,1.0,0.0,139.0,914.350115485352,running,0.0,184.53836059570312,0.1464148461818695
65,2,stage_2a,-0.5,0.0,0.0,918.7406890125562,True,False,False,1.3392111364242962,0.19551201164722443,1.5810734753724618,0.34042815918255565,0.34042815918255565,1.240645316189906,142,1.0,0.0,139.5,915.081877739886,running,0.0,316.87188720703125,0.14443236589431763
66,2,stage_2a,-0.5,0.0,0.0,938.6303634823125,True,False,False,1.3561225589442882,0.19856782257556915,1.5810755431738321,0.34630421799278316,0.34630421799278316,1.234771325181049,144,1.0,0.0,140.14285714285714,918.4459471316612,running,0.0,85.85617065429688,0.14608488976955414
67,2,stage_2a,-0.5,0.0,0.0,944.2890861123432,True,False,False,1.3569260514930828,0.21163848042488098,1.5810755627731865,0.3495163243563476,0.3495163243563476,1.231559238416839,141,1.0,0.0,140.25,921.6763395042465,running,-395.1679382324219,94.8953857421875,0.14959092438220978
68,2,stage_2a,-0.5,0.0,0.0,928.2588488886634,True,False,False,1.3415470990345097,0.20889437198638916,1.5810735558017766,0.34771786928469683,0.34771786928469683,1.2333556865170796,139,1.0,0.0,140.11111111111111,922.4077294358483,running,0.0,58.69329833984375,0.14923301339149475
69,2,stage_2a,-0.5,0.0,0.0,910.693265601146,True,False,False,1.3234582228915253,0.17352496087551117,1.5810755173909234,0.3495024190605862,0.3495024190605862,1.2315730983303372,142,1.0,0.0,140.3,921.2362830523782,running,0.0,101.88121795654297,0.14954090118408203
70,2,stage_2a,-0.5,0.0,0.0,915.3255796093387,True,False,False,1.3376519522018084,0.18300360441207886,1.5810755548349091,0.34484293239859093,0.34484293239859093,1.2362326224363183,143,1.0,0.0,140.54545454545453,920.6989463757382,running,-438.9062805175781,77.61854553222656,0.1497388333082199
71,2,stage_2a,-0.5,0.0,0.0,964.0850341678348,True,False,False,1.3474327749520107,0.21998699009418488,1.5810755346764236,0.34815799002089776,0.34815799002089776,1.2329175446555258,149,1.0,0.0,141.25,924.3144536917462,running,0.0,159.10888671875,0.14902302622795105
72,2,stage_2a,-0.5,0.0,0.0,952.1309071209982,True,False,False,1.3315912708632933,0.208387091755867,1.5810734514362474,0.349888523966508,0.349888523966508,1.2311849274697395,144,1.0,0.0,141.46153846153845,926.4541808786117,running,0.0,43.51029968261719,0.1507302075624466
73,2,stage_2a,-0.5,0.0,0.0,943.0025689189719,True,False,False,1.3384893591012728,0.19892600178718567,1.5810734744271244,0.3450019195508903,0.3450019195508903,1.2360715548762342,146,1.0,0.0,141.78571428571428,927.6362085957802,running,0.0,72.51127624511719,0.14951729774475098
74,2,stage_2a,-0.5,0.0,0.0,948.3647033963123,True,False,False,1.344211659733884,0.20440658926963806,1.5810730298645692,0.3433910250039282,0.3433910250039282,1.237682004860641,142,1.0,0.0,141.8,929.018108249149,running,0.0,87.93988037109375,0.1482096165418625
75,2,stage_2a,-0.5,0.0,0.0,930.929730360232,True,False,False,1.3396123181725899,0.19995395839214325,1.581073454485116,0.3425483398820367,0.3425483398820367,1.2385251146030791,155,1.0,0.0,142.625,929.1375846310917,running,-422.5655517578125,46.87547302246094,0.146292045712471
76,2,stage_2a,-0.5,0.0,0.0,968.110444533201,True,False,False,1.3439775752510226,0.21916233003139496,1.581073534278137,0.34640396313302657,0.34640396313302657,1.2346695711451106,149,1.0,0.0,143.0,931.430105801804,running,0.0,42.3216438293457,0.14362996816635132
77,2,stage_2a,-0.5,0.0,0.0,995.910071963667,True,False,False,1.3464575943157526,0.2251555323600769,1.5810785998810633,0.3468680146161206,0.3468680146161206,1.2342105852649428,150,1.0,0.0,143.38888888888889,935.0123261441297,running,0.0,55.186500549316406,0.14054535329341888
78,2,stage_2a,-0.5,0.0,0.0,928.6741470967713,True,False,False,1.3240080562462737,0.17684495449066162,1.5810734728053215,0.34820759999758377,0.34820759999758377,1.2328658728077377,150,1.0,0.0,143.73684210526315,934.6787377732161,running,0.0,73.44271087646484,0.13858450949192047
79,2,stage_2a,-0.5,0.0,0.0,942.6975486173717,True,False,False,1.3236170937463916,0.20497649908065796,1.5810734540975564,0.3478912656976135,0.3478912656976135,1.233182188399943,157,1.0,0.0,144.4,935.079678315424,running,-378.84393310546875,62.583839416503906,0.1361725926399231
